	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
481	Svit Sešlar	si SVN	MF,FW	Eyüpspor	24-123	2002	10	6	555	6.2	1	1	2	1	0	0	0	0	0.16	0.16	0.32	0.16	0.32	Matches
482	Eldor Shomurodov	uz UZB	MF,FW	Başakşehir	30-317	1995	33	33	2,826	31.4	21	5	26	18	3	3	0	0	0.67	0.16	0.83	0.57	0.73	Matches
483	Show	ao ANG	MF	Kocaelispor	27-067	1999	29	24	2,226	24.7	0	0	0	0	0	0	11	1	0.00	0.00	0.00	0.00	0.00	Matches
484	Danylo Sikan	ua UKR	MF	Trabzonspor	25-026	2001	13	1	247	2.7	1	0	1	1	0	0	2	0	0.36	0.00	0.36	0.36	0.36	Matches
485	Jota Silva	pt POR	MF	Beşiktaş	26-284	1999	17	5	537	6.0	3	0	3	3	0	0	1	0	0.50	0.00	0.50	0.50	0.50	Matches
486	Rafa Silva	pt POR	MF	Beşiktaş	32-360	1993	10	10	816	9.1	5	1	6	5	0	0	0	0	0.55	0.11	0.66	0.55	0.66	Matches
487	Wilfried Singo	ci CIV	DF	Galatasaray	25-138	2000	18	10	861	9.6	2	1	3	2	0	0	2	0	0.21	0.10	0.31	0.21	0.31	Matches
488	Doğukan Sınık	tr TUR	MF	Antalyaspor	27-111	1999	20	9	838	9.3	0	2	2	0	0	0	5	1	0.00	0.21	0.21	0.00	0.21	Matches
489	Guilherme Sityá	pt POR	DF,MF	Konyaspor	36-041	1990	22	21	1,858	20.6	0	1	1	0	0	0	3	0	0.00	0.05	0.05	0.00	0.05	Matches
490	Ahmet Sivri		MF,FW	Fatih Karagümrük	26-310	1999	9	3	299	3.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
491	Milan Škriniar	sk SVK	DF	Fenerbahçe	31-090	1995	24	24	2,115	23.5	2	0	2	2	0	0	6	0	0.09	0.00	0.09	0.09	0.09	Matches
492	Hrvoje Smolčić	hr CRO	DF	Kocaelispor	25-268	2000	25	25	2,136	23.7	1	1	2	1	0	0	2	0	0.04	0.04	0.08	0.04	0.08	Matches
493	Deian Sorescu	ro ROU	MF,DF	Gaziantep FK	28-256	1997	24	15	1,463	16.3	3	1	4	2	1	2	3	0	0.18	0.06	0.25	0.12	0.18	Matches
494	Afonso Sousa	pt POR	MF	Samsunspor	26-009	2000	7	1	173	1.9	1	1	2	1	0	0	1	0	0.52	0.52	1.04	0.52	1.04	Matches
495	Ali Sowe	gm GAM	FW	Rizespor	31-332	1994	31	25	2,198	24.4	6	4	10	6	0	0	2	0	0.25	0.16	0.41	0.25	0.41	Matches
496	Furkan Soyalp	tr TUR	MF	Kayserispor	30-334	1995	27	22	1,775	19.7	1	0	1	1	0	0	7	0	0.05	0.00	0.05	0.05	0.05	Matches
497	Çağlar Söyüncü	tr TUR	DF	Fenerbahçe	29-354	1996	10	9	725	8.1	0	1	1	0	0	0	0	0	0.00	0.12	0.12	0.00	0.12	Matches
498	Andraž Šporar	si SVN	FW	Alanyaspor	32-074	1994	2	2	164	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
499	Marius Ştefănescu	ro ROU	MF	Konyaspor	27-271	1998	8	1	167	1.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
500	Taras Stepanenko	ua UKR	MF	Eyüpspor	36-277	1989	8	6	528	5.9	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
501	Nikola Storm	be BEL	MF,FW	Antalyaspor	31-224	1994	27	20	1,572	17.5	4	1	5	4	0	0	1	0	0.23	0.06	0.29	0.23	0.29	Matches
502	Sander van de Streek	nl NED	FW,MF	Antalyaspor	33-049	1993	30	27	2,248	25.0	6	3	9	6	0	0	5	1	0.24	0.12	0.36	0.24	0.36	Matches
503	Mahamadou Susoho	es ESP	MF	Kocaelispor	21-112	2005	8	4	423	4.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
504	Sander Svendsen	no NOR	MF,FW	Konyaspor	28-279	1997	10	3	283	3.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
505	Jonas Svensson	no NOR	DF	Beşiktaş	33-067	1993	5	4	344	3.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
506	Oleksandr Syrota	ua UKR	DF	Kocaelispor	25-335	2000	6	4	362	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
